id,K_CH1_mean,K_CH1_median,K_CH1_q10,K_CH1_q90,K_CH1_iqr,K_CH1_frac_neg,K_CH1_n,K_CL_mean,K_CL_median,K_CL_q10,K_CL_q90,K_CL_iqr,K_CL_frac_neg,K_CL_n,K_CH1_CL_mean,K_CH1_CL_median,K_CH1_CL_q10,K_CH1_CL_q90,K_CH1_CL_iqr,K_CH1_CL_frac_neg,K_CH1_CL_n,K_CONST_mean_median,K_CONST_diff_median
ADI-47109,47.369168470590296,17.131344172729744,9.417230130038572,109.25990616829864,63.54125755294643,0.0,40.0,39.925991321033365,19.98656820151804,10.619429721107329,93.76154977343724,66.02079420952573,0.0,34.0,45.59592407376388,32.40929730922849,10.789741329842066,90.15495100023097,40.54919037375652,0.0,8.0,18.55895618712389,-2.855224028788296
ADI-38502,46.30825679714837,27.40013234644201,9.858036646763782,139.55533586323114,42.30239811073179,0.0,34.0,48.16707572110994,19.83629325263444,10.619429721107329,94.4828695280785,70.85463839861468,0.0,38.0,39.83538436655944,33.56140525066938,10.32889815326571,74.61652128566732,56.65365572911502,0.0,8.0,23.618212799538227,7.5638390938075695
ADI-38501,45.45316287232447,19.335376756355792,10.559319741553889,150.0645639551572,56.17778505765031,0.0,40.0,36.82030904410576,20.68785129630814,10.59939306125618,96.97743367954617,38.72084516233945,0.0,34.0,50.15426418989958,23.19243377770138,10.238733183935556,116.79369027232944,62.839974458156334,0.0,8.0,20.011614026331966,-1.3524745399523468
ADI-47173,47.720644878812486,17.83262726751985,10.118513224828678,129.0360894413796,71.73124226710233,0.0,36.0,43.32677234562161,21.33904274147038,10.338916483191284,96.82715873066256,65.26941946510776,0.0,40.0,38.35768070253744,16.430061077939637,11.290657826120714,79.50546628934693,58.28163434202064,0.0,8.0,19.585835004495117,-3.506415473950529
ADI-47054,40.31323233998315,22.190600785144085,11.220529516641705,78.67394490552442,53.57301927700135,0.0,38.0,64.06165413519146,13.224195501756292,9.317046830782845,95.37450089145447,41.50093171668595,0.0,36.0,115.31097744334464,38.82102846159518,9.116680232271383,269.6734049365726,86.20772900955522,0.0,8.0,17.707398143450188,8.966405283387793
ADI-47278,42.82836043182436,19.98656820151804,9.417230130038572,119.0678511654346,61.61272904227363,0.0,32.0,49.22954597374308,20.98840119407533,9.216863531527114,116.00224220820944,64.01712822441114,0.0,38.0,52.4083884231535,45.433126212473326,9.8880916365405,105.60321574546444,72.48261701152029,0.0,8.0,20.487484697796685,-1.00183299255729
ADI-47055,47.71625087445916,19.635926654122983,10.21869652408441,132.5625415751814,50.81797854746878,0.0,38.0,40.25895346267743,19.485651705239388,10.719613020363056,93.7715681033628,47.18633394944859,0.0,34.0,36.328968892608906,20.136843150401628,9.587541738773313,75.9189041759918,34.488100768784875,0.0,8.0,19.560789179681187,0.15027494888359527
ADI-47174,43.69104995319314,28.502148638255044,10.01832992557295,96.4765171832675,61.51254574301791,0.0,36.0,42.714262785449776,13.975570246174264,10.21869652408441,97.72880842396413,58.38181764127636,0.0,36.0,32.04613284942647,27.09958244867483,9.487358439517584,57.395012143607424,34.18755087101769,0.0,8.0,21.238859442214654,14.52657839208078
ADI-47056,34.7665514093633,16.88088592459042,8.044718930235078,104.9820792900789,25.271237237257765,0.0,34.0,51.20201452794908,31.257189367787603,10.619429721107329,104.94200597037664,78.94443981351485,0.0,36.0,41.41327132983719,31.4074643166712,10.008311595647376,81.9599571211123,57.93099279462557,0.0,8.0,24.06903764618901,-14.376303443197184
ADI-47279,55.60467765455503,16.830794274962557,9.547468419071022,165.64306698942312,69.82775958124344,0.0,34.0,54.87540216732583,16.329877778683908,8.816130334504194,105.89374731330608,52.19549891223507,0.0277777777777777,36.0,61.08676672118106,19.886384902262307,7.183142556635806,139.72564747196589,45.08248466507827,0.0,8.0,16.580336026823232,0.5009164962786485
ADI-47057,44.64484183148745,21.339042741470383,10.01832992557295,152.2886331986344,33.335992827343986,0.0,38.0,38.04460789236328,22.240692434771947,9.116680232271383,92.79979010058224,40.87478609633764,0.0,32.0,60.59837313730937,20.58766799705241,11.430914445078734,165.64306698942315,72.50766283633422,0.0,8.0,21.789867588121165,-0.9016496933015645
ADI-47280,36.37210336867735,21.94014253700476,9.817963327061491,75.7385742373315,46.885784051681405,0.0,36.0,44.37118324036259,18.93464355933288,10.01832992557295,114.91024424632174,54.87540216732583,0.0,40.0,47.72481918294814,33.66158854992511,11.841665972027227,102.0366902919605,55.90228098469706,0.0,8.0,20.437393048168822,3.0054989776718806
ADI-47058,41.8114999443787,20.0366598511459,10.05840324527524,88.97278806901339,46.71046327798388,0.0,40.0,46.81506642867736,13.324378801012022,7.363472495296118,112.5058450641842,70.72940927454502,0.0,34.0,40.599282023384376,18.98473520896074,11.170437867013838,85.83705080230902,49.24009158419105,0.0,8.0,16.68051932607896,6.7122810501338765
ADI-47281,44.24046788800036,17.83262726751985,9.87807330661493,121.50230533734872,58.2565885172067,0.0,42.0,38.39838016786007,16.530244377195366,9.657670048252324,85.45635426513726,52.47100298518833,0.0,32.0,49.11486246012139,24.945641514676645,10.79975965976764,123.5861179618679,65.56996936287496,0.0,8.0,17.181435822357606,1.302382890324484
