id,generator,pdb_path,internal_cavity_count,total_internal_cavity_volume,max_internal_cavity_volume,mean_internal_cavity_volume,max_internal_cavity_depth,mean_internal_cavity_depth,internal_cavity_area_total,volume_per_residue,interface_cavity_volume,interface_cavity_count,external_cavity_count,external_cavity_volume_total,all_cavity_count,extraction_status,error
ADI-38499,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38499.pdb,4.0,368.93,218.59,92.2325,3.98,1.0,347.9,1.6110480349344978,328.32,3.0,4.0,73.88,8.0,SUCCESS,
ADI-37125,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-37125.pdb,4.0,349.27,172.8,87.31750000000001,5.94,1.4225,421.3,1.5054741379310344,260.71000000000004,2.0,6.0,116.86,10.0,SUCCESS,
ADI-38500,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38500.pdb,2.0,136.29,107.35,68.145,2.68,0.6950000000000001,120.58,0.5874568965517241,136.29,2.0,9.0,102.37,11.0,SUCCESS,
ADI-37124,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-37124.pdb,2.0,49.03,27.65,24.515,2.75,1.235,76.28999999999999,0.2122510822510822,27.65,1.0,6.0,79.49,8.0,SUCCESS,
ADI-37123,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-37123.pdb,1.0,29.81,29.81,29.81,3.0,1.1,42.71,0.1319026548672566,29.81,1.0,4.0,99.15,5.0,SUCCESS,
ADI-38498,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38498.pdb,2.0,248.83,151.2,124.415,10.7,3.545,267.78,1.0588510638297872,248.83,2.0,6.0,126.79,8.0,SUCCESS,
ADI-38501,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38501.pdb,3.0,210.39,98.93,70.13000000000001,3.6,0.7999999999999999,212.73,0.9268281938325992,210.39,3.0,6.0,104.54,9.0,SUCCESS,
ADI-38503,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38503.pdb,1.0,119.23,119.23,119.23,2.68,0.85,130.05,0.5139224137931034,119.23,1.0,7.0,173.01,8.0,SUCCESS,
ADI-38502,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-38502.pdb,2.0,115.34,66.31,57.67,5.66,1.51,154.21,0.5014782608695653,66.31,1.0,4.0,43.85,6.0,SUCCESS,
ADI-45368,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45368.pdb,1.0,50.54,50.54,50.54,4.28,2.36,63.7,0.2216666666666666,0.0,0.0,5.0,58.75,6.0,SUCCESS,
ADI-45370,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45370.pdb,2.0,184.47,165.46,92.235,3.0,0.99,192.72,0.809078947368421,184.47,2.0,3.0,52.7,5.0,SUCCESS,
ADI-45373,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45373.pdb,2.0,111.67,82.08,55.835,6.29,2.445,172.54,0.4855217391304348,111.67,2.0,7.0,133.48000000000002,9.0,SUCCESS,
ADI-45378,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45378.pdb,2.0,70.84,38.66,35.42,2.4,0.6,90.33,0.2989029535864979,38.66,1.0,8.0,117.94,10.0,SUCCESS,
ADI-45379,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45379.pdb,1.0,19.66,19.66,19.66,2.24,0.77,28.07,0.0869911504424778,19.66,1.0,6.0,139.33,7.0,SUCCESS,
ADI-45375,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45375.pdb,2.0,247.75,196.34,123.875,7.61,2.29,274.78,1.0497881355932204,247.75,2.0,5.0,46.23,7.0,SUCCESS,
ADI-45388,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45388.pdb,1.0,171.72,171.72,171.72,5.26,1.67,175.57,0.7338461538461538,171.72,1.0,7.0,111.02,8.0,SUCCESS,
ADI-45382,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45382.pdb,3.0,261.35,146.66,87.11666666666667,3.65,0.9333333333333332,297.04,1.098109243697479,174.09,2.0,7.0,118.15,10.0,SUCCESS,
ADI-45383,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45383.pdb,4.0,299.17,120.53,74.7925,3.84,0.975,274.57,1.2785042735042735,299.17,4.0,7.0,156.16,11.0,SUCCESS,
ADI-45390,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45390.pdb,1.0,39.74,39.74,39.74,3.0,1.4,68.41,0.1735371179039301,0.0,0.0,7.0,127.0,8.0,SUCCESS,
ADI-45391,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45391.pdb,1.0,69.12,69.12,69.12,3.79,1.45,76.61,0.3031578947368421,69.12,1.0,8.0,154.43,9.0,SUCCESS,
ADI-45389,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45389.pdb,1.0,25.92,25.92,25.92,2.16,0.59,37.59,0.1141850220264317,0.0,0.0,6.0,123.11,7.0,SUCCESS,
ADI-45393,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45393.pdb,1.0,23.11,23.11,23.11,2.08,0.64,37.06,0.10004329004329,23.11,1.0,8.0,124.85,9.0,SUCCESS,
ADI-45397,esmfold,/workspace_developability_acquisition/esmfold_native/ADI-45397.pdb,1.0,86.18,86.18,86.18,6.0,2.32,109.07,0.379647577092511,86.18,1.0,7.0,114.9,8.0,SUCCESS,
