id,generator,status,mean_H_surface,q75_H_surface,q90_H_surface,q95_H_surface,max_H_surface,positive_H_area_fraction,top10_H_mean,top10_H_area_fraction,high_H_patch_count,largest_high_H_patch_area_fraction,largest_high_H_patch_n_vertices,CDR_mean_H,CDR_q90_H,CDR_high_H_area_fraction
ADI-37123,esmfold,SUCCESS,-0.016459743363940463,0.037080485619445366,0.13358788859332923,0.1739796068960377,0.5561050752924057,0.37004639920731813,0.21059407910905276,0.09958490303798262,146,0.0053412993317109,5,-0.005936931024548838,0.146205436340979,0.25806050608751174
ADI-37124,esmfold,SUCCESS,-0.0109745018626857,0.045145861257352475,0.11957375602369916,0.17034106543751346,0.7461792999987038,0.4522025721811925,0.2040486436960981,0.09930921549619999,164,0.0032732754602146537,3,-0.006058380093451927,0.12364779474194268,0.20384209109144327
ADI-37125,esmfold,SUCCESS,0.0025014036163124517,0.0770578067161817,0.16381373756081818,0.23366272457037643,0.5693388630621011,0.4473398583429648,0.2579323338969679,0.09920314795173459,157,0.005274562318711339,5,0.03024786573519637,0.20595488925927516,0.2738952788846606
ADI-38498,esmfold,SUCCESS,-0.0024471350727708254,0.07672970605838639,0.17298169881818867,0.22945800111112968,0.4572918363016139,0.42606927319759497,0.2420254305064029,0.0995762990627233,144,0.004052584008809047,4,0.007878882549202118,0.1831481570855119,0.21269848830525792
ADI-38499,esmfold,SUCCESS,0.01157987842334335,0.07468390526483576,0.13659494860380403,0.18725772586276612,0.4385703482619947,0.5009666104089515,0.21393126040278906,0.10099427218465246,144,0.005770333681036862,5,0.05703818217724904,0.20434637259405597,0.36675632482780274
ADI-38500,esmfold,SUCCESS,-0.002807418440887466,0.04940350602773198,0.14143973778988017,0.20027425009169392,0.8402145331636672,0.409024722774252,0.22771518832122623,0.09992565202947161,148,0.0032405530664159545,3,0.006101455153064819,0.15955683756349584,0.18484300005578544
ADI-38501,esmfold,SUCCESS,0.005295655271300597,0.07870778626147222,0.16004670899702458,0.21784832602097665,0.6085716403037665,0.4732806325549698,0.24368130522745643,0.10046188092832321,140,0.004674769644570541,4,0.03930773482123455,0.20426638953116955,0.2906132474419504
ADI-38502,esmfold,SUCCESS,0.007666919766335606,0.08098412059433038,0.16684281383442479,0.23783424480581536,0.5850844049064168,0.44948888560893935,0.2656873507379892,0.10009442215227611,148,0.0031219066770131637,3,0.07243790792342547,0.2178126214712946,0.29638192772191596
ADI-38503,esmfold,SUCCESS,0.007253193753083222,0.07218737706995455,0.14562746534815776,0.22363991598947958,0.5597051110882983,0.4581161391396806,0.2505756926539143,0.09879177945549251,149,0.003986723773210509,4,0.05184282579880879,0.2464729460290134,0.35245778634528235
ADI-45368,esmfold,SUCCESS,0.0005597146724508218,0.051340324808280956,0.15137397832009783,0.23214519315252197,0.5878688044521024,0.4315153317992515,0.2573969193321171,0.09973241832522299,149,0.006203914923813782,6,0.02624504651891517,0.22325645873116512,0.25953095701658435
ADI-45370,esmfold,SUCCESS,0.0025789121756655516,0.06895994680644045,0.1564844132452944,0.23357015616187674,0.5900410762465809,0.44900339814212126,0.2478288164716247,0.09806515794362677,153,0.004070522354664875,4,0.019617351702643403,0.1772662805505162,0.24920431847968452
ADI-45373,esmfold,SUCCESS,-0.0008802177205096391,0.05448667029615498,0.155537837955192,0.23970734619088654,0.7765677679558924,0.4029858174676577,0.2797549008747571,0.09766105163336575,140,0.006363506688582836,6,0.033070658983347025,0.2487620745242806,0.2813332692966669
ADI-45375,esmfold,SUCCESS,0.0021207514690624292,0.07486330392375687,0.15434515578557764,0.23398492672657611,0.6794822295447718,0.43384141129816983,0.2726114458019755,0.10015437605436528,146,0.004258347556902506,4,0.04598506688446568,0.25009440674608097,0.3264305932449248
ADI-45378,esmfold,SUCCESS,-4.753248116232383e-05,0.07373695252880778,0.16249474276652565,0.23286985953520487,0.6552113908381364,0.41892540585949817,0.24776324611965453,0.1001635321575059,152,0.004418865782189765,4,0.048196522989582644,0.24491756467386164,0.3006095964450951
ADI-45379,esmfold,SUCCESS,-0.013291594382734466,0.05041265316409978,0.13757751929392018,0.19776749799609522,0.49826138272551523,0.39583071215228216,0.21300703576894733,0.09977591407457034,152,0.0046301395810993805,4,0.011358007280939093,0.15420882679666595,0.29183766168857034
ADI-45382,esmfold,SUCCESS,0.008277688937279253,0.05757737585657201,0.15509592917221865,0.24012714663303594,0.7425036676004924,0.4703670883599263,0.26704459507471945,0.09998712139907075,156,0.003958012144300963,4,0.037058485402576814,0.2391896854691314,0.27518372967594434
ADI-45383,esmfold,SUCCESS,0.004651687788656318,0.0648634486439502,0.15276329473692635,0.22815353991459286,0.5950628189331676,0.4490306002613236,0.24295647471876877,0.10100933806351638,159,0.004029486134194012,4,0.061554777000126064,0.2406073636989434,0.4103425902205456
ADI-45388,esmfold,SUCCESS,0.00834630663297134,0.07392534497814218,0.1704800903751748,0.24235837114577494,0.786776613088288,0.4510205302766074,0.27311777960521694,0.10044894155626478,150,0.0065382419958506825,6,0.07494310693698333,0.2724747651186923,0.341712805162821
ADI-45389,esmfold,SUCCESS,0.006387540587281785,0.07778941008081815,0.16257364774959626,0.22172453269593845,0.8308317428958465,0.4340494859704743,0.24510601024888465,0.1002412792782988,147,0.004116136562159346,4,0.025940113896281442,0.1658578511720981,0.23682049404486472
ADI-45390,esmfold,SUCCESS,0.004341778407341161,0.06626332292911498,0.14784618395130786,0.2016438805908419,0.6984758584285257,0.4695500306351938,0.22756344314972124,0.10006880567774414,153,0.004532031360518891,4,0.026235752346138896,0.16504423375514665,0.258574537884377
ADI-45391,esmfold,SUCCESS,0.014598406027660344,0.09078154305358142,0.17807888182278592,0.23722590339959246,0.589489414400626,0.4797016633332627,0.2697137646179905,0.10019292556511278,144,0.004409069883817538,4,0.03016946821826283,0.1824936538098218,0.2358117948234499
ADI-45393,esmfold,SUCCESS,-0.020389573743566203,0.03275129030268524,0.1288326419373439,0.188077297294995,0.909530385870442,0.35673670530802204,0.20950215334063937,0.10113752092382826,146,0.007720503104376594,7,-0.009436106962258757,0.14147589613497613,0.2521162073797287
ADI-45395,esmfold,SUCCESS,0.008492012322791433,0.07660353145370663,0.14977725144667467,0.1995514622665058,0.7793628044347825,0.49484468332880877,0.22694198983390657,0.09953094978765623,136,0.006825497152592401,6,0.04357743490373626,0.16427264081326517,0.2702319027238248
ADI-45397,esmfold,SUCCESS,-0.00019825010882525964,0.05170630789307146,0.1322140475813953,0.17935135926211582,0.45847482651363913,0.4354339458876316,0.20686065095296285,0.10013019672548,146,0.00434790621038088,4,-0.03263084850911779,0.06940214367282307,0.09570655044077263
ADI-45402,esmfold,SUCCESS,0.0009024463532954234,0.07129336215097377,0.15878587069048145,0.21962442623457007,0.543962408973084,0.44334687052899685,0.23370961411432578,0.09948329539775602,148,0.003145782802057447,3,0.0435169547330199,0.19694047746875684,0.2857922149001005
ADI-45404,esmfold,SUCCESS,0.010360571196548563,0.07046259306764206,0.1532364753648583,0.19729911239021466,0.5289480314342907,0.4897511002701393,0.23296829257436452,0.09947605698565042,140,0.006857401162755239,6,0.055452740827178576,0.20770034611361407,0.3168077829946056
ADI-45405,esmfold,SUCCESS,-0.0012552114519321907,0.041928839824306244,0.1275557211258756,0.17127538733901962,0.5990292966898195,0.4203313915177883,0.20936398205803988,0.09897693800863715,154,0.0042888933579594895,4,0.021039219308471625,0.1429653201713305,0.2361983846280527
ADI-45406,esmfold,SUCCESS,-0.0005041915814429435,0.06278270609630222,0.15920809022500604,0.219415009215681,0.5158251959222646,0.4390050719964581,0.24352831971929104,0.1009146194934575,151,0.003133276422168346,3,0.05384192853030407,0.23640669607404616,0.3604774706454577
