id,generator,extraction_status,error,mean_H_surface,q75_H_surface,q90_H_surface,q95_H_surface,max_H_surface,positive_H_area_fraction,top10_H_mean,top10_H_area_fraction,high_H_patch_count,largest_high_H_patch_area_fraction,largest_high_H_patch_n_vertices,CDR_mean_H,CDR_q90_H,CDR_high_H_area_fraction,n_surface_points,copatch_status,phi_finite_frac
ADI-37123,boltz2,SUCCESS,,-0.001673323584994924,0.05305950426646668,0.15865170011227336,0.2217461896944456,0.494778620378167,0.41590158026623536,0.24860140574628992,0.09977781078134226,138,0.004558187281479117,4,0.004050618886468098,0.175064053912556,0.22574696872436298,841,SUCCESS,1.0
ADI-37124,boltz2,SUCCESS,,-0.0008919609595260227,0.05529423936419503,0.13883653510869493,0.2065238324308717,0.8398710705793642,0.4440791054450001,0.2336128555010151,0.1005312408915088,159,0.003060487407052561,3,0.013553576221801651,0.17057217787085985,0.21152274750350197,976,SUCCESS,1.0
ADI-37125,boltz2,SUCCESS,,0.0018046155140968195,0.06183415585597063,0.14963651026660882,0.21470392614683484,0.46775929382768866,0.4484238028243568,0.235587518740264,0.10161889348825476,145,0.0058487535577383815,5,0.009276456636152584,0.13698726107995626,0.16714415273613953,852,SUCCESS,1.0
ADI-38498,boltz2,SUCCESS,,0.00022377434624603915,0.07470542427136048,0.16444252301019935,0.230306882754555,0.5948007053784714,0.42673004868333225,0.2546889268875295,0.10092936485270924,151,0.005579603641694756,5,-0.0008887281103589444,0.15724787955798086,0.20312400600766012,915,SUCCESS,1.0
ADI-38499,boltz2,SUCCESS,,0.010674207328265782,0.07314467730361492,0.14280422963783743,0.18193763551188538,0.5790983487202567,0.5139885611542895,0.20665284103069634,0.10140870976669156,143,0.00341683222114777,3,0.05856346398354721,0.18129055756642276,0.32575299232052213,862,SUCCESS,1.0
ADI-38500,boltz2,SUCCESS,,0.012020943903255464,0.08493764078705167,0.1697379458757061,0.22835872410397864,0.7808382885128597,0.48957654656156335,0.255056996128727,0.09977528414044048,129,0.005877015136732799,5,0.02878684438235179,0.21142995447659635,0.2573128848281509,850,SUCCESS,1.0
ADI-38501,boltz2,SUCCESS,,0.007721545485114288,0.07714170183719224,0.16380068806544848,0.2346185425168773,0.48599936804413246,0.47370746265660285,0.2588402266847509,0.09848436341539216,128,0.004791786608980099,4,0.054093071905475354,0.24622848100238956,0.2566948485036008,833,SUCCESS,1.0
ADI-38502,boltz2,SUCCESS,,0.013750586919114976,0.0869092266029307,0.18182319200730535,0.2278682418391288,0.5271713073284194,0.4809410652520564,0.25715322032127647,0.10059889233364265,142,0.005935612275602345,5,0.07502725326767436,0.25195334810082526,0.2969671254235148,876,SUCCESS,1.0
ADI-38503,boltz2,SUCCESS,,0.007522504074497421,0.07709704871833443,0.1573418903098967,0.2075794352778568,0.5373301220134341,0.4554160211862191,0.23930016199579207,0.10014853881780901,134,0.0046606362037448544,4,0.04335774319599758,0.21462755392181054,0.32511396013729177,853,SUCCESS,1.0
ADI-45368,boltz2,SUCCESS,,0.006210004109935222,0.07051551925086288,0.15348749138269124,0.22128968261140314,0.6071158946597282,0.4722115682014743,0.24994149358050907,0.09900775984438825,140,0.00349413521775335,3,0.05133726718731015,0.2375364282003179,0.3131188008352069,873,SUCCESS,1.0
ADI-45370,boltz2,SUCCESS,,0.014594244064323459,0.09061296140458164,0.1653890327088342,0.21535132068403068,0.6620382376802453,0.5135485140919818,0.24154169792393884,0.09939027863692379,135,0.003313953002190464,3,0.03457054261533716,0.2019085009172853,0.2606265841451192,885,SUCCESS,1.0
ADI-45373,boltz2,SUCCESS,,0.0031060388258490664,0.07558407098008174,0.16183361232107613,0.22214232110394938,0.8492490411760582,0.43371826248130413,0.238563896754322,0.10024804452995383,135,0.005697628457475587,5,0.018638316101526827,0.18406086936651972,0.2635567194540085,871,SUCCESS,1.0
ADI-45375,boltz2,SUCCESS,,-0.0030016552063641053,0.06042743191973666,0.13513601257655636,0.19773939486867037,0.4815738034829682,0.45620390909249614,0.21425992356774398,0.09896476835784905,136,0.0034710518948062275,3,0.030358166385366887,0.18940572231732522,0.29409401591073003,845,SUCCESS,1.0
ADI-45378,boltz2,SUCCESS,,0.004087160521820168,0.07712887731551994,0.17076971172068664,0.24611167210874849,0.6087776142031789,0.4257556856322209,0.2656620644915811,0.0994051213819068,137,0.0032611130608517975,3,0.04430832998166317,0.23706310339421732,0.24470249899628563,889,SUCCESS,1.0
ADI-45379,boltz2,SUCCESS,,0.003039098294198116,0.07805143429437708,0.16153520392570883,0.23170092202003736,0.6332603092179416,0.4327559777385484,0.2636414057507438,0.1004542332415948,135,0.004751713074912775,4,0.0340316046193425,0.2096246175501463,0.28169951282065897,832,SUCCESS,1.0
ADI-45382,boltz2,SUCCESS,,0.013621156317333903,0.06800171183330875,0.15356625221949982,0.22122150954617578,0.6622493260592741,0.509700703900262,0.2470887865800159,0.10052789173880655,152,0.0033448269098526992,3,0.037772662247714126,0.20009508342672735,0.2603076669714251,915,SUCCESS,1.0
ADI-45383,boltz2,SUCCESS,,0.006901433992615583,0.06721482117448102,0.1447130481907995,0.2075311961618856,0.5695983379018047,0.4698405033012623,0.2405258284023598,0.10003324661801984,129,0.004485677233919774,4,0.05416616066115231,0.24647939872250638,0.34395445989686224,881,SUCCESS,1.0
ADI-45388,boltz2,SUCCESS,,0.0028020631233786567,0.06612374117287767,0.16359777643602347,0.23978763563655633,0.6345288865583001,0.436392774748515,0.26375454714246976,0.09914910922689163,150,0.004432438211340995,4,0.04915008545407059,0.2511883629952788,0.294505778481472,907,SUCCESS,1.0
ADI-45389,boltz2,SUCCESS,,0.01664602586546999,0.08247092431720654,0.16970029637634887,0.25781121947096536,0.8808302691014459,0.4804727555246976,0.26883570849796995,0.10132800190139137,141,0.0047489243356974775,4,0.027460697690073376,0.15742200547674456,0.19693615939223388,882,SUCCESS,1.0
ADI-45390,boltz2,SUCCESS,,0.008719005933507981,0.060875059595469586,0.1582337910853608,0.2135077206418475,0.43417188121523076,0.47222712807028366,0.23424229939568678,0.10084509683340467,134,0.007099972923165917,6,0.027715558678218854,0.1534641325931566,0.22443233928565653,859,SUCCESS,1.0
ADI-45391,boltz2,SUCCESS,,0.02038046262407992,0.10035724259606599,0.18171027566410006,0.24107358790242425,0.46241812932621984,0.520001274946621,0.2628941632684092,0.09850326604419944,135,0.004429415599276932,4,0.02287984023842967,0.18195686203104092,0.21449929248209929,889,SUCCESS,1.0
ADI-45393,boltz2,SUCCESS,,-0.01306353070491132,0.037106466252909094,0.12780870053022064,0.18901461889388127,0.4470747145250676,0.38566463584412164,0.20156843085009868,0.1002187627548147,129,0.0059214952451751715,5,0.0023440945742345598,0.15521934894456027,0.22305809655766945,826,SUCCESS,1.0
ADI-45395,boltz2,SUCCESS,,0.007039780697060768,0.07583274932402102,0.14566528677283264,0.19274632488668822,0.43113987817928157,0.4888968922082366,0.21288875825708414,0.10059456670381148,137,0.004767936497112055,4,0.02906804781730565,0.1542964868004029,0.2328551898347598,846,SUCCESS,1.0
ADI-45397,boltz2,SUCCESS,,0.0075031669626569415,0.057893359859618077,0.13817088977262568,0.19105065241548647,0.68847591077395,0.4795338117917039,0.2209116610764909,0.09896196413868551,140,0.004689371730319186,4,-0.01681948285108818,0.10518794060965735,0.12995113019555787,850,SUCCESS,1.0
ADI-45402,boltz2,SUCCESS,,-0.0041588663017772505,0.05936079724935621,0.1487656609025359,0.20723211213328818,0.6606416799608498,0.41200920215455217,0.22392207665944966,0.099751957880348,143,0.004443694980648873,4,0.024189224307924816,0.1482189370737779,0.2681461471820568,900,SUCCESS,1.0
ADI-45404,boltz2,SUCCESS,,0.013779152211129521,0.0831185143943163,0.14909973928878056,0.2016170576936084,0.457114454157512,0.5081196881881785,0.22540511855643328,0.09985645270377559,136,0.003810811399580394,3,0.07476501259689809,0.22458463485750296,0.39932610853535283,826,SUCCESS,1.0
ADI-45405,boltz2,SUCCESS,,0.0036947503603179843,0.05295151056687381,0.130575262001839,0.17164312568614834,0.4569373769000673,0.4386803989800039,0.20253518316666438,0.10108678009410106,131,0.004822296781948936,4,0.029858440104761578,0.1549980059807589,0.27774330133790803,850,SUCCESS,1.0
ADI-45406,boltz2,SUCCESS,,0.007112317158218491,0.06861693073841348,0.176408876621439,0.23711808183328018,0.5448213731332859,0.4522851302584164,0.26648714630787246,0.10014385995290624,139,0.004661906875870052,4,0.06355477018182153,0.23927967673590714,0.3362312792897285,868,SUCCESS,1.0
ADI-45407,boltz2,SUCCESS,,0.019825092629777993,0.08195656326760578,0.16764532629156637,0.2419000066096908,0.8186402579910709,0.4982264220751495,0.2704640545418206,0.10020658279659493,128,0.005143580849813017,5,0.06411389198982866,0.24075322540076258,0.32132244211451655,881,SUCCESS,1.0
ADI-45408,boltz2,SUCCESS,,0.009923739839893515,0.07929120073069579,0.15742615628113027,0.22104023371452444,0.5505930239143638,0.48229658879359905,0.24177739807842755,0.10096555922263953,143,0.0034258363008964443,3,0.058430755722137365,0.19857514083692127,0.2965736783599288,878,SUCCESS,1.0
ADI-45409,boltz2,SUCCESS,,0.009644150955159234,0.06814114096028363,0.1625599112938209,0.21875638882560505,0.6425268567114135,0.4626819645509082,0.24361333714382283,0.09927589694093697,130,0.005812139417321505,5,0.04506039271302828,0.1679726331246385,0.3068195982932207,850,SUCCESS,1.0
ADI-45410,boltz2,SUCCESS,,0.010052703494666316,0.07281650060793302,0.18143438104823237,0.2582260994846834,0.5988485702262452,0.4630819250033826,0.29937118653694805,0.100948607227739,139,0.0048029812619627904,4,0.11169929794629668,0.3519904293378043,0.43778780434513714,842,SUCCESS,1.0
ADI-45411,boltz2,SUCCESS,,0.014111485051670392,0.08005808878591797,0.16823619593763248,0.2324822080436185,0.9187721850426482,0.4918141197675106,0.26488769442737076,0.10143512344353593,141,0.0046176969341556835,4,0.04998307670182464,0.1982936754442043,0.2822778781301651,872,SUCCESS,1.0
ADI-45422,boltz2,SUCCESS,,0.0009054114040759785,0.08051408936049483,0.16277252602463174,0.21405035431128808,0.5628648376916757,0.44399748062803973,0.23699954077719798,0.10192247867179424,139,0.004504121454516634,4,0.08662043233590679,0.2386122465146541,0.4256441893303932,882,SUCCESS,1.0
ADI-45425,boltz2,SUCCESS,,0.012218669535578318,0.0857075095422622,0.16471752234094147,0.22582444459131226,0.43823830578523054,0.4739116187201136,0.2533600038499958,0.10112801017562996,145,0.004703055022964834,4,0.07445461092036462,0.2718100534431938,0.44102330875963647,888,SUCCESS,1.0
ADI-45428,boltz2,SUCCESS,,0.015934612141055227,0.07718748825578306,0.15439609847127864,0.2035214441407725,0.6688700571871329,0.4771489785143072,0.23278908791890293,0.10089886789237602,141,0.005825497865617802,5,0.057235861364963704,0.1973196104583606,0.32957224714753147,900,SUCCESS,1.0
ADI-45429,boltz2,SUCCESS,,0.0050344670240207706,0.06626832751531579,0.15358158555298987,0.22075140822285721,0.5508044858778258,0.4592035401599334,0.24784169280801543,0.10084894516386213,135,0.004616960577412292,4,0.04130268770472083,0.19822759351824834,0.3026313221599111,863,SUCCESS,1.0
ADI-45430,boltz2,SUCCESS,,0.011910852233508087,0.07767832598618128,0.15824296932464346,0.2314697736831385,0.7112621625119107,0.4502529104958719,0.2656256423019028,0.10031466069853542,144,0.0043386649334740185,4,0.06316825196561014,0.22842407578060123,0.32758235340818814,914,SUCCESS,1.0
ADI-45433,boltz2,SUCCESS,,0.005236643466704228,0.08469555468443354,0.16159313294772698,0.21617074399232533,0.6159890187966869,0.4499805990067075,0.241769684257751,0.09986489478845814,131,0.004041359054113447,4,0.09092922508755853,0.23605987648431992,0.46582145549416537,916,SUCCESS,1.0
ADI-45435,boltz2,SUCCESS,,0.015546430355764506,0.07657684690127518,0.16398789641163203,0.2309928238286599,0.5349242964096199,0.4753968696242433,0.2566471516159929,0.10121503729904593,154,0.004333845695248898,4,0.06851746732569051,0.2289460879476946,0.33316888251564314,923,SUCCESS,1.0
